,0.1% DMSO ,1 uM Verapamil 
1.95,542.384754990926,393.253193224024
1.9625,539.494313286231,390.421945906698
1.975,538.999394882434,387.819834560494
1.9875,537.391236712471,385.708709530324
2,535.238301185019,382.423255390774
2.0125,532.904011088972,380.934727040351
2.025,529.087619047619,377.619082367965
2.0375,525.956374674761,375.031167169363
2.05,521.40870092729,373.032970052203
2.0625,517.626777662157,371.517650303365
2.075,513.745531841055,368.859933957072
2.0875,507.780358845454,367.841155899135
2.1,503.882547416043,365.710199576934
2.1125,499.138942056725,364.802394106814
2.125,494.520576671035,363.513456221198
2.1375,488.616781629267,362.759113982464
2.15,481.949245661463,361.21010417627
2.1625,477.780611797704,360.726683937824
2.175,470.0696069869,360.484851292504
2.1875,464.046080926885,359.624536693847
2.2,458.627087361575,358.318454856298
2.2125,452.263908450704,357.500415934929
2.225,446.497625329815,357.186876155268
2.2375,440.796467176378,356.832731648616
2.25,436.606544364085,356.83748957078
2.2625,432.750485779898,356.249930600537
2.275,428.892314487633,355.6209707299
2.2875,425.258611552729,355.712736373749
2.3,422.163198441512,355.190851004723
2.3125,419.189430822342,355.467253358036
2.325,416.321551647963,354.445649152071
2.3375,414.575556146415,354.428849541114
2.35,413.080095795636,354.580115113257
2.3625,410.849529223663,354.240186046512
2.375,410.218251492737,353.92047455742
2.3875,408.268318678391,354.094217024042
2.4,406.851552076848,357.468973193581
2.4125,405.608830845771,367.726669737448
2.425,404.717764151782,376.762478168949
2.4375,403.468930571606,387.179466081551
2.45,402.892236384705,398.683040614709
2.4625,401.865882981566,407.224213207204
2.475,400.918565325739,412.774861502134
2.4875,400.628423588188,414.132971996387
2.5,400.178443968594,414.600813375508
2.5125,399.369082642418,413.411987723416
2.525,398.250602624766,412.650704734369
2.5375,397.7068165596,410.939055174901
2.55,397.611106151236,409.22140088344
2.5625,397.476164922637,407.748304241657
2.575,396.76822079314,405.498147980847
2.5875,396.856147870346,403.867419792137
2.6,396.077410714286,401.203345388788
2.6125,395.732952006435,398.277231296814
2.625,395.696267120222,396.193475305845
2.6375,395.350353847532,394.031301034295
2.65,395.341725651823,391.044026870007
2.6625,394.94419021983,388.413272727273
2.675,394.412564882764,386.117079388201
2.6875,393.582104228122,382.971124066314
2.7,393.928494623656,381.164841182913
2.7125,393.606771766392,378.459676682802
2.725,393.289149088309,376.487132521293
2.7375,394.051159863334,374.506411430665
2.75,393.314851307775,372.0076223712
2.7625,392.968143176734,369.749471361589
2.775,393.803416510151,367.826227092734
2.7875,416.88906709436,366.226545253863
2.8,440.142262010282,365.335602575897
2.8125,456.960575057329,363.939837847798
2.825,467.305150290033,362.572060449687
2.8375,484.105460572226,362.183425925926
2.85,511.170860812218,361.136132433182
2.8625,523.061741241762,360.218784735087
2.875,529.028242224725,359.444043988541
2.8875,533.510566429932,359.229708468302
2.9,535.562494616246,358.764232902033
2.9125,538.567677291181,358.052407407407
2.925,539.99163216011,357.302794743661
2.9375,540.599482758621,356.7753817677
2.95,542.093450685995,356.817785608309
2.9625,542.079596412556,355.73968048758
2.975,542.080303946119,356.196011131725
2.9875,539.739448751077,355.438510124466
3,538.887622993268,355.341119762699
3.0125,536.300819318672,355.15125034861
3.025,534.827057907037,354.536789297659
3.0375,531.72628210672,354.68307834956
3.05,528.592196132597,354.114534184476
3.0625,525.820213042349,354.398051948052
3.075,521.098926778605,354.17016143997
3.0875,517.483747609943,356.213445689416
3.1,512.084434782609,366.128999445164
3.1125,508.640891675374,375.680588776449
3.125,503.483103988852,385.23849180928
3.1375,499.030160390516,396.521639674261
3.15,493.177433397179,406.493160678461
3.1625,487.836750719832,413.017674927114
3.175,481.599336302506,414.984044964192
3.1875,475.044139498296,414.881372815358
3.2,469.261471103327,414.030908269318
3.2125,462.875,412.965734896303
3.225,457.043135192004,411.320519761776
3.2375,451.716789992953,410.311476892466
3.25,445.685150955022,407.627031419285
3.2625,440.28649506347,405.853883758827
3.275,436.143021201413,404.515489130435
3.2875,431.145969306756,401.747921185828
3.3,427.746978385532,398.99121695038
3.3125,424.012890693978,397.1240829635
3.325,421.26103884612,394.998179832545
3.3375,418.389568919638,391.836043237351
3.35,416.220505992011,388.970261913423
3.3625,413.899547832255,386.882186788155
3.375,412.129069457997,384.029805851791
3.3875,409.617493588043,380.85942753294
3.4,408.588903683977,378.543412763626
3.4125,407.523449991117,376.207019143118
3.425,405.94457788453,373.953716432958
3.4375,404.955983248686,371.981753163396
3.45,403.747951549697,369.747913035501
3.4625,402.570970899706,367.707270056912
3.475,402.080313418217,366.672307550814
3.4875,400.708930638412,365.629807248916
3.5,400.245156682439,363.827157079646
3.5125,400.35531496063,363.151803885291
3.525,398.81871657754,361.578258866882
3.5375,398.458091582612,361.060611660353
3.55,397.983140053524,360.112599297986
3.5625,397.823277017967,359.622053794251
3.575,396.785918513224,358.271433850702
3.5875,396.470509383378,358.024417314095
3.6,396.481607446523,357.233302497687
3.6125,395.682589285714,356.9633401222
3.625,396.085287274029,356.894576082932
3.6375,394.706381837683,356.067715078631
3.65,395.182689723143,355.78697020174
3.6625,394.350026876904,355.481125092524
3.675,393.766037398228,355.960137520907
3.6875,394.525990320846,354.796148861322
3.7,394.53304751697,355.17312517424
3.7125,393.849772382398,354.459116584869
3.725,393.512000716461,354.354599406528
3.7375,392.908732293348,354.357420789327
3.75,392.636942675159,353.773320981936
3.7625,392.097902097902,353.429353372298
3.775,391.944156076606,355.668705969596
3.7875,392.331932021467,364.664447526583
3.8,392.284922196387,373.843948166529
3.8125,392.271864649539,384.225087171958
3.825,390.950906007319,395.218354141985
3.8375,391.17646533238,405.620025556773
3.85,391.607895677027,411.882978723404
3.8625,391.818246805469,414.177793904209
3.875,391.836782227,413.870623360174
3.8875,391.644040476404,413.514414821509
3.9,392.204088952654,412.616087585957
3.9125,407.669109105531,411.179871713795
3.925,430.538113006397,409.424029541565
3.9375,450.435718080397,408.000270855905
3.95,463.978656126482,406.176672694394
3.9625,483.858756567426,404.605750972059
3.975,506.369646750981,401.813488834644
3.9875,521.378884150057,399.462527154236
4,527.275043327556,396.435160065111
4.0125,532.27695102959,394.578818181818
4.025,535.312494603229,391.449129488575
4.0375,538.027530853543,389.030915684497
4.05,540.730257473648,386.149777333454
4.0625,541.209123835805,383.934648245773
4.075,542.409404659189,381.543579446929
4.0875,542.273724203437,378.674359208246
4.1,542.951251078516,376.53513909224
4.1125,541.879007864489,373.855807988274
4.125,540.162756471301,371.927129221733
4.1375,538.053320617305,369.807727522432
4.15,534.818362927674,368.740641957142
4.1625,531.702348964202,366.405052824989
4.175,529.56015591165,364.856775142489
4.1875,526.626114043437,363.264383687747
4.2,522.306808363574,362.581414701803
4.2125,517.642578970143,361.707948243993
4.225,512.583398386677,360.337482710927
4.2375,507.845056951569,360.066925853929
4.25,502.853588516746,358.896484915583
4.2625,498.72819843342,358.968845618915
4.275,493.659104737071,357.887408640947
4.2875,488.759637188209,357.053597785978
4.3,481.698412698413,356.87742292782
4.3125,475.466085440279,356.799538319483
4.325,470.989122807018,356.342039455404
4.3375,463.72256257658,355.952142923262
4.35,457.635464098074,355.215336231616
4.3625,452.629567667518,355.0023171749
4.375,445.660726825843,355.248284813647
4.3875,440.496035940803,355.031943541647
4.4,434.467146872804,354.254191755442
4.4125,431.359543605165,354.130970011107
4.425,427.312869887819,354.444960520204
4.4375,423.830421739898,353.909461210887
4.45,420.960375022112,354.105429234339
4.4625,418.1293857711,354.277391868112
4.475,415.450412124435,357.829609715398
4.4875,413.736315323295,370.315385327042
4.5,411.64367917847,379.239871086556
4.5125,410.519538188277,388.37326007326
4.525,408.175370156929,398.073090610457
4.5375,406.924325762952,406.90930592195
4.55,405.849488206498,412.425555052107
4.5625,404.377669039146,413.957508362716
4.575,403.89425389755,413.632235890014
4.5875,403.071511265473,413.18856315599
4.6,402.359650686152,411.90685476578
4.6125,400.861671727094,410.609513474408
4.625,399.890592955863,409.188868778281
4.6375,399.198804318729,407.343200072196
4.65,398.362670713202,405.03243292077
4.6625,398.163239763991,403.019448213478
4.675,397.664791499241,399.995298372514
4.6875,397.614349376114,398.061883651497
4.7,396.977520071365,395.732813350263
4.7125,396.290028591851,393.097257537232
4.725,395.453864001428,390.362159709619
4.7375,396.00949480473,387.699890770071
4.75,395.058113544926,385.549845370202
4.7625,394.782340311326,382.292600692546
4.775,394.278534312847,380.588885842245
4.7875,393.972194903889,377.533522104494
4.8,393.719896224727,374.84197080292
4.8125,393.592831541219,372.957532491305
4.825,393.311856823266,370.813497157528
4.8375,393.968794835007,368.713617177464
4.85,393.049218401072,367.024363335479
4.8625,393.550994801936,365.789391143911
4.875,392.325818572195,364.292768309535
4.8875,392.479060173975,362.928722718482
4.9,391.992656277987,361.869769585253
4.9125,392.319813352477,361.074668141593
